id,dom_pv,ks_kpt,md_bct,md_ct,md_cvt,user_status
173,3,0,4,21,4,0
33,1,10,1,4,0,1
58,1,0,2,6,0,1
177,3,0,0,12,1,0
165,2,14,3,12,2,0
178,2,0,2,10,2,0
112,2,12,8,25,4,0
25,0,8,2,5,0,1
172,1,0,4,13,3,0
199,0,12,1,6,2,0
61,1,0,3,5,0,1
180,2,0,2,13,4,0
4,0,0,3,6,1,1
149,2,0,2,15,1,0
139,3,0,0,12,2,0
151,2,0,1,5,0,0
111,4,15,0,14,0,0
136,0,0,1,9,4,0
63,2,0,1,7,1,1
69,2,0,1,6,0,1
48,2,0,1,6,1,1
24,1,0,3,6,0,1
113,2,0,5,15,3,0
158,3,0,0,7,0,0
2,1,0,3,6,0,1
84,1,0,0,5,1,1
142,1,0,0,7,3,0
166,2,0,2,15,3,0
191,1,16,2,7,0,0
87,1,0,1,5,1,1
186,1,0,2,9,3,0
51,0,0,0,6,3,1
54,2,0,3,8,0,1
128,1,0,2,11,4,0
72,2,0,0,6,1,1
16,1,10,1,5,0,1
159,1,0,1,25,3,0
210,2,0,2,8,0,0
99,1,0,1,5,1,1
133,1,8,0,7,2,0
32,1,0,2,5,0,1
105,1,0,1,6,1,1
81,1,0,0,6,2,1
125,1,16,2,9,2,0
108,3,0,5,18,3,0
3,1,0,1,8,3,1
132,2,0,7,15,1,0
8,1,0,1,4,0,1
147,1,10,2,7,1,0
194,2,0,0,8,2,0
107,3,12,3,14,0,0
118,1,2,4,12,1,0
141,2,0,4,19,2,0
45,2,0,1,7,0,1
185,1,10,3,11,0,0
175,1,22,3,9,0,0
183,2,0,1,10,4,0
68,2,0,1,6,0,1
161,3,0,5,17,4,0
59,1,0,4,6,0,1
98,1,0,3,6,0,1
65,1,0,1,6,1,1
176,3,0,2,9,1,0
163,1,20,3,10,0,0
138,0,18,1,7,3,0
70,0,12,2,4,0,1
143,0,4,4,7,0,0
179,2,18,2,11,0,0
76,1,0,2,6,0,1
140,2,0,0,7,2,0
103,1,1,1,7,0,1
201,2,0,0,7,0,0
56,2,0,1,6,0,1
42,1,0,0,6,0,1
211,3,22,0,33,6,0
82,2,3,0,6,1,1
150,1,37,0,13,4,0
35,2,0,0,5,1,1
192,1,0,2,9,2,0
21,1,0,2,4,0,1
156,3,0,5,22,4,0
31,1,0,1,5,1,1
34,1,0,0,4,0,1
13,1,0,1,5,1,1
96,0,12,1,4,0,1
37,1,0,1,5,0,1
5,0,0,3,5,1,1
207,1,0,2,6,0,0
90,1,0,1,4,0,1
94,1,2,1,5,0,1
171,3,0,3,13,2,0
22,1,0,2,7,1,1
43,2,0,2,7,1,1
14,0,15,0,3,0,1
129,2,10,0,9,1,0
119,3,12,0,11,3,0
89,2,0,1,6,0,1
41,2,0,1,6,0,1
169,2,0,3,14,2,0
12,1,0,3,6,0,1
9,1,0,2,5,0,1
130,2,0,3,12,2,0
109,2,0,5,15,1,0
64,3,0,0,8,1,1
121,0,18,1,8,2,0
15,1,3,2,5,0,1
153,2,7,4,13,0,0
196,1,24,0,7,2,0
49,1,6,0,6,0,1
55,1,0,2,5,0,1
97,2,0,0,6,1,1
27,2,0,0,6,1,1
19,0,14,0,7,0,1
170,2,21,1,11,0,0
120,2,0,4,11,1,0
127,2,0,3,11,2,0
71,2,0,1,6,1,1
184,3,0,0,10,2,0
52,2,0,2,8,1,1
73,0,0,4,6,0,1
200,2,0,3,12,3,0
60,1,4,1,6,1,1
155,1,0,3,16,5,0
144,2,16,0,10,3,0
18,2,0,0,5,1,1
44,0,0,2,4,0,1
91,2,0,1,7,0,1
134,2,0,3,27,4,0
190,3,0,0,8,1,0
83,1,1,3,8,0,1
50,2,4,1,4,0,1
131,3,12,0,8,0,0
7,1,0,3,6,0,1
208,2,0,1,7,1,0
66,2,0,2,7,0,1
26,1,0,2,4,0,1
204,1,10,3,13,2,0
187,3,0,1,10,2,0
86,1,0,1,6,0,1
115,2,12,4,17,1,0
188,2,0,2,13,1,0
154,1,5,0,7,4,0
95,1,0,2,5,0,1
100,0,3,1,4,0,1
10,2,0,0,7,1,1
137,1,0,1,8,3,0
11,1,0,3,6,0,1
182,3,12,2,9,0,0
30,0,8,2,9,0,1
162,2,14,3,11,1,0
62,0,2,1,7,2,1
47,1,0,2,5,0,1
78,0,14,0,6,1,1
145,2,0,4,13,0,0
203,3,0,4,22,7,0
17,2,0,2,7,0,1
209,2,18,2,12,2,0
36,0,0,1,4,0,1
53,1,0,1,5,1,1
135,0,20,1,6,1,0
116,1,4,4,13,3,0
202,2,18,3,15,3,0
67,0,17,1,3,0,1
212,3,9,3,21,3,0
146,1,18,0,10,4,0
46,1,0,1,5,0,1
39,1,0,1,4,0,1
152,2,18,2,10,1,0
88,1,0,1,4,0,1
195,1,0,2,10,1,0
189,1,16,5,17,3,0
104,2,0,1,6,1,1
148,1,28,2,15,3,0
174,3,0,2,10,0,0
193,3,0,2,9,1,0
197,3,0,2,14,3,0
126,3,0,0,11,3,0
23,1,0,3,6,0,1
29,2,0,0,6,1,1
167,2,12,3,13,3,0
77,1,8,2,6,0,1
110,1,10,4,16,2,0
79,1,0,0,4,1,1
106,1,0,0,4,0,1
40,1,0,1,4,0,1
38,1,14,1,5,0,1
157,2,0,6,16,1,0
122,3,0,5,15,1,0
114,2,14,1,8,1,0
205,2,22,2,10,0,0
20,1,0,2,8,0,1
160,2,12,4,14,0,0
117,2,16,3,11,4,0
198,2,0,5,13,1,0
80,1,0,3,7,1,1
74,1,1,0,5,1,1
6,2,0,2,8,0,1
57,1,8,2,6,0,1
93,0,22,1,3,0,1
124,1,10,5,15,3,0
1,1,0,3,7,0,1
123,3,0,0,9,2,0
168,3,0,3,15,1,0
181,1,12,1,10,3,0
164,5,0,4,16,0,0
85,1,0,2,5,1,1
206,2,0,1,10,1,0
28,0,0,4,5,0,1
75,0,0,3,6,0,1
102,1,0,1,5,0,1
101,2,0,1,7,2,1
92,1,0,0,4,0,1
